geometry,Shape_Leng,Shape_Area,Name,RiskNumeric,bright_ti5,bright_ti4,acq_time,frp,Delta T,acq_date,confidence,scan,instrument,type,version,RiskNumeri,daynight,satellite,track,RiskCatego,latitude,longitude,system_ind,RiskCategory,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30,band_31,band_32,band_33,band_34,band_35,band_36,band_37,band_38,band_39
POINT (8255245.042475806 1757954.28568843),,,,3,302.64,343.92,751.0,6.39,41.28,16-04-2013,n,0.47,VIIRS,0,1,3.0,D,N,0.48,High Risk,,,,High Risk,17.40591049194336,2074.81591796875,0.0439036525785923,17.53630256652832,0.09556286782026291,304.7933044433594,-0.002768457867205143,0.4860532283782959,-0.003095421474426985,0.4563058614730835,-0.005470718257129192,2.976832151412964,0.0002314443700015545,-0.19571593403816223,3.006338357925415,2.7003719806671143,4.5566059270640835e-05,0.24657617509365082,0.0006265992415137589,0.5565924048423767,9.736731590237468e-05,0.37105804681777954,6.487612724304199,0.0017035076161846519,0.7827280163764954,93.10492706298828,18.387535095214844,84.1129150390625,212.8773651123047,101.9572982788086,-111.40953826904297,114.37515258789062,2613.04638671875,-0.008225029334425926,0.8091617822647095,-0.1069658026099205,32.359535217285156,0.04121944308280945,20.958009719848633,182.7649383544922
POINT (8263410.077015991 1747221.264555977),,,,3,300.27,356.84,757.0,8.58,56.57,16-04-2017,n,0.39,VIIRS,0,1,3.0,D,N,0.44,High Risk,,,,High Risk,14.928257942199707,2073.187744140625,0.04621821641921997,17.30975914001465,0.15995974838733673,301.47900390625,0.0005496047670021653,0.40370118618011475,0.0004654083459172398,0.37241455912590027,0.0027627097442746162,2.608217239379883,0.0010380593594163656,-0.3040908873081207,2.976552724838257,2.7044215202331543,-0.0009365169680677354,0.36261868476867676,-0.0006842448492534459,0.6577442288398743,-8.381297084270045e-05,0.3892545998096466,19.405414581298828,-0.0008653072291053832,0.8905579447746277,107.9455337524414,-44.79071807861328,96.26102447509766,131.95774841308594,115.38044738769531,-155.48817443847656,116.62018585205078,1955.7725830078125,-0.01419547013938427,0.8339504599571228,-0.009360027499496937,30.074121475219727,0.03362371772527695,21.575223922729492,1249.520751953125
POINT (8263312.289198837 1747358.2886353752),,,,3,301.04,356.42,757.0,12.1,55.38,16-04-2017,n,0.39,VIIRS,0,1,3.0,D,N,0.44,High Risk,,,,High Risk,14.928257942199707,2073.187744140625,0.04621821641921997,17.30975914001465,0.36348646879196167,302.61474609375,-0.005507180467247963,0.41126346588134766,-0.006973599083721638,0.38455930352211,0.013105081394314766,2.6685433387756348,0.01754899136722088,-0.24737334251403809,2.976552724838257,2.7044215202331543,-0.018594350665807724,0.3068135678768158,-0.02038157358765602,0.5888617038726807,-0.008279030211269855,0.36349794268608093,17.001943588256836,-0.011784297414124012,0.8463740348815918,93.1970443725586,101.45000457763672,91.06293487548828,197.44107055664062,107.7288818359375,-100.27291107177734,154.4427947998047,1719.7645263671875,0.0016844321507960558,0.6863299012184143,-0.009360027499496937,30.074121475219727,0.03362371772527695,21.575223922729492,1130.676025390625
POINT (8261440.421896807 1709783.7415948452),,,,3,298.95,340.13,759.0,5.8,41.18,29-04-2016,n,0.39,VIIRS,0,1,3.0,D,N,0.44,High Risk,,,,High Risk,18.551830291748047,2328.795654296875,0.07300230115652084,14.763771057128906,0.06262639164924622,305.5518493652344,-0.00197249255143106,0.47168999910354614,-0.0024339198134839535,0.4384525418281555,-0.0017665178747847676,2.9765632152557373,0.002646655309945345,-0.17915673553943634,3.2029500007629395,2.5971996784210205,-0.003318768460303545,0.23716731369495392,-0.003525286912918091,0.5374695062637329,-0.001169952447526157,0.35188037157058716,27.420276641845703,-0.0008250356186181307,0.7608859539031982,88.34839630126953,59.61085510253906,73.06415557861328,231.9917449951172,92.5712890625,-75.19615173339844,96.73827362060547,2508.031005859375,-0.010235882364213467,0.7951149344444275,-0.08863598108291626,29.770793914794922,0.047402273863554,22.076128005981445,1158.7745361328125
POINT (8263651.320057303 1753134.1062815154),,,,3,302.81,344.02,804.0,5.12,41.21,11-04-2019,n,0.48,VIIRS,0,1,3.0,D,N,0.4,High Risk,,,,High Risk,14.390942573547363,2018.94677734375,0.0439036525785923,17.53630256652832,0.12125486880540848,304.7938537597656,0.0010932032018899918,0.18420721590518951,0.0008884186972863972,0.1550678312778473,0.0016681865090504289,2.34515380859375,0.0009120293543674052,-0.14587877690792084,2.8782966136932373,2.7207159996032715,-0.0009523048647679389,0.23871098458766937,-0.0013114236062392592,0.4841683804988861,-0.0007654520450159907,0.28166088461875916,11.788640975952148,-0.0007417494198307395,0.9040300250053406,39.516151428222656,301.0746154785156,27.443439483642578,437.2550964355469,31.633943557739258,208.7972869873047,5.757008075714111,1537.91796875,-0.028733540326356888,0.6486642360687256,-0.04985617846250534,29.66597557067871,0.025595787912607193,21.466461181640625,1040.6807861328125
POINT (8265464.613946008 1724506.1927953858),,,,3,301.49,339.53,805.0,3.92,38.04,18-04-2016,n,0.48,VIIRS,0,1,3.0,D,N,0.4,High Risk,,,,High Risk,17.406888961791992,2192.45166015625,0.06798024475574493,15.237241744995117,0.15402798354625702,304.0484924316406,-0.0036089099012315273,0.3763316571712494,-0.004025021567940712,0.34976404905319214,-0.002492892323061824,2.791931390762329,0.003328492632135749,-0.1307675540447235,4.112709045410156,2.169313669204712,-0.003592612687498331,0.18779253959655762,-0.002857908606529236,0.46172988414764404,-0.0007548993453383446,0.32273057103157043,16.571483612060547,0.000462677184259519,0.7649527192115784,119.5983657836914,95.7073745727539,103.38448333740234,240.81298828125,100.76727294921875,6.13048791885376,120.49285888671875,2060.905029296875,-0.012358473613858223,0.7385162711143494,-0.0697527602314949,30.34874725341797,0.046747997403144836,21.356609344482422,2612.2568359375
POINT (8260731.584318634 1760555.9609646623),,,,3,297.88,338.95,810.0,4.41,41.07,29-04-2018,l,0.41,VIIRS,0,1,3.0,D,N,0.37,High Risk,,,,High Risk,12.756263732910156,1992.9703369140625,0.0439036525785923,17.53630256652832,0.13808783888816833,302.95904541015625,-0.00798909179866314,0.6008435487747192,-0.008251074701547623,0.5688269138336182,-0.0024054080713540316,2.951946496963501,0.007960178889334202,-0.3415275812149048,2.306614875793457,2.9972360134124756,-0.007375592365860939,0.38895854353904724,-0.0074590458534657955,0.7004734873771667,-0.003588935825973749,0.426931768655777,4.368103504180908,-0.0027646953240036964,0.8445484638214111,93.49852752685547,32.86114501953125,81.61992645263672,239.01626586914062,96.40020751953125,-56.03996276855469,73.20800018310547,2898.6025390625,-0.010638643987476826,0.8308727741241455,-0.031189966946840286,29.349414825439453,0.03881462663412094,21.18943214416504,931.302978515625
POINT (8260796.610735117 1760162.186700102),,,,3,298.45,334.53,810.0,3.51,36.08,29-04-2018,l,0.41,VIIRS,0,1,3.0,D,N,0.37,High Risk,,,,High Risk,12.756263732910156,1992.9703369140625,0.0439036525785923,17.53630256652832,0.045347440987825394,303.9613037109375,0.0008926673326641321,0.5871001482009888,0.0016995895421132445,0.5450079441070557,-0.0016846206272020936,3.0193779468536377,-0.003415928455069661,-0.280801385641098,2.306614875793457,2.9972360134124756,0.0037261920515447855,0.32888227701187134,0.004440821707248688,0.6371090412139893,0.0028781467117369175,0.39223286509513855,8.75849437713623,0.0029877449851483107,0.7989221215248108,76.17213439941406,176.0155487060547,66.82545471191406,355.1171875,83.54419708251953,40.02505874633789,85.0496597290039,2948.9345703125,-0.004669887013733387,0.8003960251808167,-0.0301418025046587,29.389135360717773,0.04379437491297722,21.15009307861328,802.3930053710938
POINT (8265707.346141895 1693212.5917996406),,,,3,293.65,333.07,810.0,5.32,39.42,29-04-2018,n,0.41,VIIRS,0,1,3.0,D,N,0.37,High Risk,,,,High Risk,21.10080909729004,2478.678955078125,0.06601659208536148,15.423352241516113,-0.008190172724425793,305.96002197265625,0.0012024900643154979,0.3457084596157074,0.0002592938544694334,0.3261076509952545,-0.0031317980028688908,3.123504877090454,-0.000396743300370872,0.03130745515227318,5.156741619110107,1.4496335983276367,-0.0007564517436549067,0.03115919604897499,-0.00083976611495018,0.28704512119293213,-0.00033485121093690395,0.2624029815196991,24.580829620361328,0.0010267950128763914,0.5665770769119263,131.39210510253906,340.1015625,110.15463256835938,430.2791442871094,118.87774658203125,84.5316390991211,79.86336517333984,2728.86572265625,-0.0200811754912138,0.7167363166809082,-0.08062753081321716,29.24935531616211,0.02844085544347763,20.57973861694336,1092.3170166015625
POINT (8265278.46962401 1693142.1767506842),,,,3,293.3,334.08,810.0,3.37,40.78,29-04-2018,n,0.41,VIIRS,0,1,3.0,D,N,0.37,High Risk,,,,High Risk,23.021440505981445,2472.308349609375,0.07669062167406082,14.396920204162598,0.05650223046541214,303.9241943359375,-0.0003618040063884109,0.5089510083198547,-0.0005711097037419677,0.4834989905357361,-0.0012240340001881123,2.8107993602752686,-0.0005812531453557312,-0.30068933963775635,5.156741619110107,1.4496335983276367,0.00041711379890330136,0.3652467429637909,0.0007519519422203302,0.6579996347427368,0.0006055821431800723,0.3874170780181885,18.83531379699707,0.0007618158706463873,0.8434931039810181,161.01174926757812,83.86126708984375,127.25291442871094,257.4933166503906,136.08660888671875,-61.496498107910156,119.26997375488281,2622.40625,-0.019422242417931557,0.8192311525344849,-0.07518620789051056,28.91219139099121,0.032185424119234085,20.424049377441406,1115.2406005859375
